University_category,Department,Gender,Age,YearofStudy,CGPA,credits_completed,study_strategy,how_many_courses_retaken,year1,year2,year3,year4,reason_for_retaking_course_01,reason_for_retaking_course_02,reason_for_retaking_course_03,reason_for_retaking_course_04,reason_for_retaking_course_05,reason_for_retaking_course_06,subject_area,attendance,study_time,co-curricular_activities,co-curricular_activities_time,co-curricular_activities_stress,involvedInStudentPolitics,studentPoliticsTime,studyHabits,formativeAssessmentsMarks,midtermExamsMarks,finalExamsMarks,confidence,familyResponsibilities,part-timeJob,part-timeJob_time,stressAcademicJourney,livingArrangement,supportAcademicChallenges,studyEnvironment,helpFromClassmates,engaged_classroom_discussions,time_management_skills,ever_retaken
Public,Life Sciences,Female,24,3rd Year 2nd Semester,3.08,120,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,more than 12,Yes,No,0,Irregular,60-70%,60-70%,60-70%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Business Studies,Female,24,3rd Year 2nd Semester,2.89,120,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Business,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Male,22,2nd Year 2nd Semester,2.88,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,Below 50%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Regular,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,1,Yes,Sometimes,2,Yes
National,Sciences,Female,23,3rd Year 1st Semester,3.4,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,8-12h,Yes,With family,Yes,3,Yes,Always,4,No
Public,Social Sciences,Female,22,2nd Year 2nd Semester,2.78,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,Social Sciences,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Male,24,4th Year 1st Semester,2.9,140,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Private,Engineering and Technology,Female,23,3rd Year 1st Semester,3.5,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,more than 12,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Social Sciences,Male,21,2nd Year 1st Semester,2.45,60,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Social Sciences,50-60%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Business Studies,Female,23,3rd Year 1st Semester,2.67,100,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Business,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
National,Social Sciences,Male,22,2nd Year 2nd Semester,2.88,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,50-60%,8-12h,Yes,0,Yes,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Male,24,3rd Year 2nd Semester,2.95,120,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,8-12h,Yes,0,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Private,Sciences,Male,21,2nd Year 1st Semester,3.08,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,No,0,Irregular,50-60%,60-70%,60-70%,3,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,4,Yes
Public,Sciences,Male,22,2nd Year 2nd Semester,3.33,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Math,70-80%,more than 12,Yes,8-12h,Maybe,No,0,Regular,60-70%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Sciences,Male,21,1st Year 2nd Semester,3.09,40,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Math,60-70%,more than 12,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,3,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,No
Public,Life Sciences,Male,22,1st Year 2nd Semester,2.6,40,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,3-7h,Maybe,Yes,more than 12,Only before exams,Below 50%,Below 50%,Below 50%,1,Yes,Other,more than 12,Yes,Off-campus apartment,Yes,2,No,Sometimes,2,Yes
Public,Sciences,Female,23,2nd Year 1st Semester,3.4,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,Lack of preparation,0,0,0,0,0,Math,60-70%,more than 12,Yes,8-12h,Maybe,No,8-12h,Regular,60-70%,60-70%,60-70%,3,Yes,Tuition,8-12h,No,With family,Yes,3,Yes,Always,3,No
Public,Life Sciences,Male,22,2nd Year 1st Semester,2.6,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,more than 12,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,Yes,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Male,21,1st Year 2nd Semester,2.7,40,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,3-7h,Yes,3-7h,Maybe,Yes,3-7h,Only before exams,50-60%,50-60%,50-60%,2,Yes,Not Applicable,3-7h,No,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Male,21,1st Year 2nd Semester,2.6,40,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,0,0,0,Family problems,Math,50-60%,3-7h,Yes,3-7h,Maybe,Yes,3-7h,Only before exams,50-60%,50-60%,50-60%,2,Yes,Not Applicable,3-7h,Yes,Off-campus apartment,No,2,Yes,Sometimes,2,Yes
Public,Sciences,Male,23,3rd Year 2nd Semester,2.78,120,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,2,Yes
Public,Life Sciences,Male,22,2nd Year 1st Semester,3.4,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,No,more than 12,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,3,Yes,Always,3,No
Public,Social Sciences,Male,23,3rd Year 1st Semester,2.89,100,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,Yes,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
National,Sciences,Female,23,3rd Year 2nd Semester,2.78,120,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Sciences,Male,24,3rd Year 2nd Semester,2.95,120,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,2,Yes
Private,Engineering and Technology ,Male,22,2nd Year 2nd Semester,3.25,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,60-70%,more than 12,Yes,more than 12,Maybe,Yes,more than 12,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,8-12h,Yes,With family,Yes,3,Yes,Always,3,No
National,Social Sciences,Female,25,4th Year 1st Semester,2.69,140,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,Family problems,Social Sciences,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Male,21,2nd Year 1st Semester,2.56,60,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,1-3h,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Life Sciences,Male,22,2nd Year 2nd Semester,2.89,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,1,Yes,Sometimes,2,Yes
Public,Business Studies,Female,24,4th Year 1st Semester,2.77,140,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Business,50-60%,more than 12,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Private,Engineering and Technology ,Female,24,4th Year 1st Semester,3.5,140,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,8-12h,Maybe,No,0,Only before exams,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,With family,Yes,4,Yes,Always,4,No
Public,Sciences,Male,23,3rd Year 1st Semester,2.67,100,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,2,Yes
Public,Life Sciences,Female,23,3rd Year 1st Semester,2.56,100,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Male,24,3rd Year 2nd Semester,3.45,120,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,8-12h,Maybe,Yes,more than 12,Regular,70-80%,70-80%,70-80%,2,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
National,Sciences,Female,24,4th Year 1st Semester,2.9,140,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,8-12h,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,8-12h,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Male,21,1st Year 2nd Semester,2.67,40,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,2,Yes,Not Applicable,8-12h,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Public,Sciences,Male,23,3rd Year 2nd Semester,3.07,100,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,more than 12,Maybe,Yes,3-7h,Only before exams,60-70%,60-70%,60-70%,2,Yes,Not Applicable,8-12h,No,Off-campus apartment,Yes,4,Yes,Sometimes,3,Yes
Public,Sciences,Male,22,2nd Year 2nd Semester,2.87,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,8-12h,Yes,8-12h,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,2,Yes,Not Applicable,0,No,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Engineering and Technology,Male,24,4th Year 1st Semester,3.07,120,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,0,IT,60-70%,more than 12,Yes,1-3h,Maybe,Yes,0,Only before exams,60-70%,60-70%,60-70%,2,Yes,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,Yes
Public,Business Studies,Male,23,3rd Year 2nd Semester,2.88,100,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Business,50-60%,more than 12,Yes,3-7h,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Life Sciences,Female,22,2nd Year 1st Semester,3,40,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,No,0,Maybe,Yes,1-3h,Only before exams,60-70%,60-70%,60-70%,3,No,Not Applicable,3-7h,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Public,Sciences,Female,24,4th Year 1st Semester,3.12,120,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,1-3h,Maybe,No,0,Irregular,60-70%,60-70%,60-70%,3,No,Not Applicable,0,Yes,With family,Yes,2,Yes,Sometimes,2,Yes
Public,Business Studies,Male,22,2nd Year 2nd Semester,3.1,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Business,60-70%,more than 12,No,0,Maybe,No,0,Only before exams,60-70%,60-70%,60-70%,3,No,Tuition,1-3h,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,3,Yes
National,Sciences,Female,23,3rd Year 1st Semester,3,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,60-70%,8-12h,No,0,Maybe,No,0,Only before exams,60-70%,60-70%,60-70%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
National,Engineering and Technology,Female,21,1st Year 2nd Semester,2.89,20,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,IT,50-60%,8-12h,Yes,1-3h,Maybe,Yes,1-3h,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Rarely,3,Yes
Private,Life Sciences,Female,23,3rd Year 1st Semester,3.15,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,No,0,Maybe,No,0,Only before exams,60-70%,60-70%,60-70%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,Yes
Private,Engineering and Technology ,Female,22,2nd Year 2nd Semester,2.9,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,IT,50-60%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Female,24,4th Year 1st Semester,2.5,140,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,more than 12,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,No,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Private,Business Studies,Male,21,2nd Year 2nd Semester,3.25,57,Group Study,0,No,No,No,No,0,0,0,0,0,Family problems,Business,Above 90%,3-7h,Yes,3-7h,Yes,No,0,Regular,70-80%,70-80%,70-80%,2,No,Business,8-12h,Yes,With family,Yes,3,Yes,Always,4,No
Public,Sciences,Female,22,2nd Year 2nd Semester,2.67,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Math,50-60%,8-12h,Yes,more than 12,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Male,25,4th Year 2nd Semester,2.95,160,Lecture Materials and Self-Sourced Resources,3,Yes,No,Yes,No,Lack of preparation,0,0,Poor time management,Health issues,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,No,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Private,Engineering and Technology,Female,23,3rd Year 1st Semester,3.35,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Sciences,Female,23,3rd Year 1st Semester,2.87,100,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Private,Engineering and Technology ,Female,24,4th Year 1st Semester,3.5,140,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
National,Sciences,Female,24,4th Year 1st Semester,2.67,140,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,0,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,University dorm,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Male,22,2nd Year 2nd Semester,2.88,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Private,Engineering and Technology,Female,21,2nd Year 1st Semester,3.5,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,University dorm,Yes,4,Yes,Always,4,No
National,Sciences,Female,24,3rd Year 2nd Semester,2.92,120,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,2,Yes,Sometimes,2,Yes
Public,Engineering and Technology,Female,22,2nd Year 2nd Semester,2.88,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,Lack of preparation,0,0,0,0,0,IT,50-60%,8-12h,Yes,1-3h,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,No
Public,Social Sciences,Male,23,3rd Year 1st Semester,2.89,100,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Private,Life Sciences,Female,22,2nd Year 2nd Semester,3.22,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,8-12h,Yes,University dorm,Yes,4,Yes,Always,4,No
Public,Sciences,Male,24,4th Year 1st Semester,3.2,120,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,8-12h,No,0,Maybe,Yes,1-3h,Only before exams,70-80%,70-80%,70-80%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,3,Yes
National,Sciences,Female,25,4th Year 2nd Semester,2.96,160,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,3-7h,Yes,8-12h,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
National,Social Sciences,Female,21,2nd Year 1st Semester,3.25,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Social Sciences,60-70%,more than 12,Yes,8-12h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Social Sciences,Male,23,3rd Year 1st Semester,3.22,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,60-70%,more than 12,Yes,1-3h,Maybe,No,0,Only before exams,60-70%,60-70%,60-70%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Business Studies,Female,22,2nd Year 2nd Semester,3.45,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Business,70-80%,more than 12,Yes,1-3h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,2,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Public,Social Sciences,Female,21,1st Year 2nd Semester,3.4,20,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,70-80%,more than 12,Yes,1-3h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,2,Yes
Public,Sciences,Female,23,3rd Year 1st Semester,3.08,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,Lack of preparation,0,0,0,0,0,Math,60-70%,8-12h,No,0,Maybe,No,0,Only before exams,60-70%,60-70%,60-70%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,No
Public,Sciences,Male,22,2nd Year 1st Semester,3.45,40,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,No,0,Maybe,Yes,1-3h,Only before exams,70-80%,70-80%,70-80%,3,No,Other,1-3h,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,Yes
Private,Sciences,Male,24,4th Year 1st Semester,3.5,120,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,8-12h,No,0,Maybe,No,0,Only before exams,70-80%,70-80%,70-80%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
National,Business Studies,Male,22,2nd Year 2nd Semester,3.18,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Business,60-70%,8-12h,Yes,1-3h,Maybe,No,0,Only before exams,60-70%,60-70%,60-70%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,4,Yes
National,Engineering and Technology,Female,23,3rd Year 1st Semester,3.5,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,IT,70-80%,8-12h,No,0,Maybe,No,0,Only before exams,70-80%,70-80%,70-80%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,4,Yes
